iter	Passed	Remaining
0	151	151543
1	153	76530
2	155	51533
3	156	39021
4	158	31512
5	160	26611
6	162	23028
7	164	20396
8	166	18297
9	167	16614
10	169	15236
11	171	14091
12	172	13120
13	174	12288
14	176	11566
15	177	10933
16	179	10378
17	181	9883
18	182	9439
19	184	9038
20	186	8676
21	188	8364
22	190	8074
23	191	7800
24	193	7553
25	195	7319
26	197	7100
27	198	6896
28	200	6706
29	201	6529
30	203	6364
31	205	6209
32	206	6062
33	208	5924
34	210	5798
35	211	5676
36	213	5557
37	215	5448
38	216	5342
39	218	5245
40	220	5157
41	222	5075
42	224	4990
43	225	4907
44	227	4828
45	229	4752
46	230	4679
47	232	4610
48	234	4543
49	235	4478
50	237	4416
51	239	4357
52	240	4300
53	242	4245
54	243	4191
55	245	4139
56	247	4092
57	249	4047
58	251	4003
59	252	3960
60	254	3916
61	256	3874
62	257	3832
63	259	3792
64	260	3753
65	262	3715
66	264	3678
67	264	3631
68	266	3597
69	268	3564
70	269	3531
71	271	3499
72	273	3468
73	274	3438
74	276	3415
75	278	3387
76	280	3360
77	282	3333
78	283	3307
79	285	3280
80	286	3254
81	288	3229
82	290	3205
83	291	3181
84	292	3151
85	294	3129
86	295	3100
87	297	3079
88	298	3057
89	300	3037
90	302	3017
91	303	2997
92	305	2983
93	307	2964
94	309	2945
95	310	2927
96	312	2911
97	314	2894
98	316	2877
99	317	2860
100	319	2843
101	320	2819
102	321	2804
103	323	2787
104	325	2771
105	326	2756
106	328	2742
107	330	2727
108	331	2712
109	333	2697
110	335	2685
111	337	2673
112	338	2659
113	340	2648
114	342	2635
115	343	2619
116	345	2606
117	347	2593
118	348	2578
119	349	2565
120	351	2553
121	353	2541
122	353	2523
123	355	2511
124	357	2500
125	358	2489
126	360	2477
127	361	2462
128	363	2452
129	365	2445
130	367	2435
131	368	2426
132	370	2415
133	372	2408
134	375	2402
135	376	2394
136	378	2385
137	379	2373
138	381	2363
139	383	2354
140	384	2345
141	386	2335
142	388	2326
143	389	2318
144	392	2315
145	394	2307
146	396	2298
147	398	2292
148	400	2284
149	401	2277
150	403	2268
151	405	2260
152	406	2252
153	408	2243
154	410	2235
155	411	2227
156	413	2220
157	415	2213
158	416	2205
159	418	2197
160	420	2189
161	421	2182
162	423	2174
163	425	2169
164	427	2163
165	429	2157
166	431	2150
167	432	2143
168	434	2136
169	436	2129
170	437	2122
171	439	2115
172	441	2108
173	442	2101
174	444	2094
175	446	2088
176	447	2081
177	449	2075
178	451	2068
179	453	2063
180	453	2053
181	455	2046
182	457	2041
183	458	2035
184	460	2029
185	462	2022
186	463	2016
187	465	2010
188	467	2004
189	468	1998
190	470	1992
191	472	1986
192	473	1980
193	475	1975
194	477	1969
195	478	1963
196	480	1957
197	481	1951
198	484	1948
199	485	1943
200	487	1939
201	489	1933
202	491	1928
203	492	1922
204	494	1917
205	496	1911
206	497	1906
207	499	1901
208	501	1896
209	502	1891
210	504	1887
211	506	1882
212	508	1878
213	510	1873
214	512	1870
215	513	1865
216	515	1861
217	517	1855
218	519	1851
219	520	1846
220	522	1841
221	524	1836
222	525	1831
223	527	1826
224	528	1821
225	530	1817
226	532	1812
227	533	1807
228	535	1802
229	537	1798
230	538	1793
231	541	1790
232	542	1786
233	544	1782
234	546	1778
235	547	1773
236	549	1769
237	551	1764
238	552	1760
239	554	1755
240	555	1750
241	557	1746
242	559	1741
243	560	1737
244	563	1737
245	565	1733
246	567	1729
247	570	1728
248	571	1724
249	574	1722
250	576	1721
251	580	1722
252	582	1720
253	584	1717
254	587	1716
255	590	1715
256	593	1714
257	596	1714
258	600	1717
259	608	1730
260	613	1736
261	616	1736
262	619	1735
263	621	1733
264	624	1731
265	626	1728
266	629	1729
267	632	1727
268	634	1724
269	637	1722
270	640	1722
271	642	1720
272	644	1717
273	647	1715
274	649	1713
275	652	1711
276	656	1713
277	660	1714
278	663	1713
279	665	1712
280	668	1711
281	672	1712
282	676	1712
283	678	1711
284	681	1710
285	684	1709
286	690	1715
287	694	1717
288	697	1715
289	700	1715
290	702	1712
291	705	1711
292	707	1708
293	710	1706
294	712	1703
295	717	1706
296	720	1705
297	723	1704
298	725	1700
299	727	1697
300	730	1696
301	732	1693
302	734	1690
303	736	1687
304	740	1688
305	745	1691
306	749	1691
307	751	1688
308	753	1684
309	755	1681
310	757	1677
311	759	1674
312	761	1670
313	763	1667
314	764	1663
315	766	1659
316	768	1655
317	770	1651
318	771	1647
319	773	1643
320	775	1641
321	778	1638
322	780	1635
323	782	1632
324	784	1630
325	786	1626
