iter	Passed	Remaining
0	635	634622
1	669	334270
2	672	223440
3	682	169919
4	685	136481
5	688	114091
6	695	98602
7	698	86617
8	701	77235
9	704	69697
10	706	63520
11	716	59006
12	718	54587
13	731	51517
14	733	48189
15	736	45275
16	739	42735
17	747	40757
18	749	38703
19	752	36865
20	764	35662
21	767	34135
22	770	32728
23	777	31624
24	781	30460
25	794	29776
26	797	28730
27	799	27760
28	802	26855
29	808	26137
30	810	25347
31	845	25587
32	864	25343
33	877	24929
34	882	24337
35	891	23870
36	893	23264
37	896	22689
38	899	22154
39	906	21761
40	909	21264
41	911	20790
42	914	20354
43	922	20052
44	925	19638
45	927	19240
46	931	18879
47	941	18667
48	945	18350
49	952	18099
50	955	17772
51	957	17455
52	959	17150
53	962	16857
54	969	16651
55	971	16369
56	972	16094
57	974	15830
58	976	15575
59	978	15332
60	986	15193
61	989	14967
62	991	14752
63	993	14534
64	1000	14398
65	1002	14193
66	1004	13992
67	1007	13805
68	1010	13629
69	1012	13450
70	1014	13270
71	1016	13097
72	1018	12934
73	1020	12772
74	1036	12786
75	1040	12645
76	1042	12499
77	1044	12347
78	1046	12199
79	1048	12058
80	1050	11917
81	1057	11835
82	1058	11690
83	1060	11560
84	1062	11433
85	1063	11307
86	1066	11187
87	1072	11118
88	1075	11004
89	1077	10894
90	1079	10786
91	1082	10680
92	1089	10626
93	1091	10524
94	1094	10424
95	1097	10331
96	1101	10257
97	1103	10161
98	1105	10063
99	1107	9969
100	1110	9880
101	1111	9788
102	1113	9699
103	1120	9652
104	1122	9565
105	1124	9479
106	1125	9396
107	1128	9316
108	1129	9236
109	1133	9173
110	1135	9096
111	1137	9019
112	1139	8944
113	1141	8873
114	1144	8805
115	1146	8733
116	1147	8659
117	1149	8590
118	1151	8522
119	1153	8456
120	1159	8424
121	1161	8355
122	1162	8291
123	1164	8229
124	1166	8168
125	1168	8107
126	1175	8080
127	1177	8021
128	1179	7962
129	1181	7904
130	1182	7847
131	1184	7790
132	1187	7741
133	1189	7688
134	1191	7635
135	1193	7581
136	1195	7529
137	1204	7521
138	1206	7471
139	1208	7421
140	1210	7372
141	1211	7319
142	1219	7307
143	1221	7262
144	1223	7216
145	1225	7171
146	1227	7125
147	1235	7115
148	1237	7070
149	1240	7027
150	1242	6985
151	1246	6952
152	1251	6929
153	1254	6890
154	1256	6849
155	1258	6809
156	1269	6814
157	1271	6774
158	1272	6733
159	1274	6693
160	1282	6684
161	1284	6645
162	1286	6605
163	1288	6567
164	1290	6531
165	1299	6527
166	1301	6490
167	1303	6453
168	1304	6416
169	1313	6413
170	1315	6377
171	1317	6344
172	1320	6314
173	1326	6298
174	1329	6265
175	1331	6232
176	1333	6199
177	1335	6165
178	1337	6133
179	1342	6115
180	1344	6084
181	1347	6054
182	1349	6024
183	1356	6014
184	1357	5982
185	1359	5950
186	1361	5919
187	1363	5888
188	1365	5858
189	1370	5840
190	1372	5811
191	1373	5781
192	1375	5752
193	1377	5723
194	1379	5695
195	1381	5666
196	1388	5659
197	1391	5636
198	1393	5608
199	1395	5581
200	1401	5571
201	1404	5547
202	1406	5523
203	1409	5501
204	1412	5478
205	1415	5454
206	1417	5432
207	1419	5406
208	1421	5380
209	1423	5355
210	1431	5353
211	1434	5330
212	1436	5308
213	1439	5285
214	1447	5284
215	1449	5261
216	1451	5237
217	1453	5212
218	1455	5189
219	1461	5182
220	1464	5161
221	1468	5145
222	1470	5125
223	1480	5127
224	1481	5104
225	1484	5084
226	1486	5062
227	1493	5058
228	1496	5038
229	1498	5017
230	1501	4997
231	1509	4997
232	1511	4975
233	1513	4954
234	1515	4932
235	1517	4911
236	1519	4890
237	1526	4887
238	1528	4868
239	1531	4848
240	1533	4829
241	1541	4829
242	1544	4810
243	1546	4791
244	1548	4773
245	1558	4776
246	1561	4759
247	1563	4741
248	1574	4749
249	1577	4732
250	1579	4714
251	1582	4697
252	1590	4695
253	1591	4675
254	1593	4655
255	1595	4636
256	1628	4706
257	1630	4688
258	1634	4676
259	1637	4660
260	1639	4642
261	1641	4625
262	1644	4607
263	1646	4588
264	1652	4583
265	1654	4565
266	1656	4546
267	1657	4528
268	1659	4509
269	1661	4491
270	1668	4488
271	1670	4470
272	1671	4452
273	1673	4434
274	1675	4416
275	1676	4398
276	1682	4391
277	1684	4374
278	1686	4357
279	1687	4339
280	1689	4322
281	1691	4305
282	1695	4295
283	1697	4279
284	1699	4262
285	1700	4246
286	1702	4229
287	1704	4213
288	1705	4197
289	1707	4180
290	1713	4175
291	1715	4159
292	1717	4143
293	1718	4127
294	1720	4112
295	1722	4096
296	1728	4091
297	1730	4076
298	1732	4061
299	1734	4046
300	1736	4031
301	1737	4016
302	1741	4006
303	1743	3991
304	1745	3977
305	1747	3962
306	1749	3948
307	1751	3934
308	1753	3921
309	1759	3916
310	1761	3901
311	1762	3887
312	1764	3872
313	1766	3858
314	1767	3844
315	1775	3842
316	1777	3828
317	1778	3814
318	1780	3800
319	1781	3786
320	1783	3772
321	1789	3768
322	1791	3754
323	1793	3741
324	1794	3727
325	1796	3713
326	1798	3700
327	1799	3687
328	1805	3682
329	1806	3668
330	1808	3655
331	1810	3642
332	1811	3629
333	1813	3616
334	1815	3603
335	1820	3598
336	1822	3586
337	1824	3573
338	1826	3561
339	1828	3549
340	1830	3537
341	1836	3532
342	1838	3521
343	1841	3510
344	1843	3500
345	1850	3498
346	1853	3488
347	1855	3477
348	1858	3466
349	1860	3454
350	1864	3446
351	1868	3439
352	1870	3428
353	1872	3416
354	1874	3405
355	1876	3393
356	1882	3390
357	1885	3380
358	1887	3370
359	1890	3360
360	1892	3350
361	1899	3347
362	1901	3337
363	1903	3325
